community_ab,community_eccc,ab_reading_date,ab_current_aqhi,ab_forecast_today,ab_forecast_tomorrow,ab_forecast_tonight,ab_pulled_at_utc,eccc_current_aqhi,eccc_pulled_at_utc,diff_ab_minus_eccc,abs_diff,flag
Red Deer,Red Deer,2026-06-01 17:00,2.0,,2,2,2026-06-02T00:16:28+00:00,2.0,2026-06-02T00:16:28+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-06-01 17:00,2.0,,2,2,2026-06-02T00:16:28+00:00,2.0,2026-06-02T00:16:28+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-06-01 17:00,2.0,,2,2,2026-06-02T00:16:28+00:00,2.0,2026-06-02T00:16:28+00:00,0.0,0.0,OK
Lethbridge,Lethbridge,2026-06-01 18:00,2.0,,2,2,2026-06-02T00:16:28+00:00,2.0,2026-06-02T00:16:28+00:00,0.0,0.0,OK
Medicine Hat,Medicine Hat,2026-06-01 17:00,2.0,,2,2,2026-06-02T00:16:28+00:00,2.0,2026-06-02T00:16:28+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-06-01 17:00,2.0,,3,3,2026-06-02T00:16:28+00:00,2.0,2026-06-02T00:16:28+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-06-01 17:00,1.0,,2,2,2026-06-02T00:16:28+00:00,1.0,2026-06-02T00:16:28+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,2026-06-01 17:00,2.0,,2,2,2026-06-02T00:16:28+00:00,2.0,2026-06-02T00:16:28+00:00,0.0,0.0,OK
St. Albert,St. Albert,2026-06-01 17:00,2.0,,2,2,2026-06-02T00:16:28+00:00,2.0,2026-06-02T00:16:28+00:00,0.0,0.0,OK
Strathcona County,Sherwood Park,2026-06-01 18:00,2.0,,2,2,2026-06-02T00:16:28+00:00,,,,,OK
Edmonton,Edmonton,2026-06-01 18:00,2.0,,2,2,2026-06-02T01:27:27+00:00,2.0,2026-06-02T01:27:27+00:00,0.0,0.0,OK
Calgary,Calgary,2026-06-01 18:00,2.0,,3,3,2026-06-02T01:27:27+00:00,2.0,2026-06-02T01:27:27+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-06-01 18:00,2.0,,2,2,2026-06-02T01:27:27+00:00,2.0,2026-06-02T01:27:27+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-06-01 18:00,2.0,,2,2,2026-06-02T01:27:27+00:00,2.0,2026-06-02T01:27:27+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-06-01 18:00,2.0,,2,2,2026-06-02T01:27:27+00:00,2.0,2026-06-02T01:27:27+00:00,0.0,0.0,OK
Lethbridge,Lethbridge,2026-06-01 19:00,2.0,,2,2,2026-06-02T01:27:27+00:00,2.0,2026-06-02T01:27:27+00:00,0.0,0.0,OK
Medicine Hat,Medicine Hat,2026-06-01 18:00,2.0,,2,2,2026-06-02T01:27:27+00:00,2.0,2026-06-02T01:27:27+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-06-01 18:00,2.0,,3,3,2026-06-02T01:27:27+00:00,2.0,2026-06-02T01:27:27+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-06-01 19:00,1.0,,2,2,2026-06-02T01:27:27+00:00,1.0,2026-06-02T01:27:27+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,2026-06-01 18:00,2.0,,2,2,2026-06-02T01:27:27+00:00,2.0,2026-06-02T01:27:27+00:00,0.0,0.0,OK
St. Albert,St. Albert,2026-06-01 18:00,2.0,,2,2,2026-06-02T01:27:27+00:00,2.0,2026-06-02T01:27:27+00:00,0.0,0.0,OK
Strathcona County,Sherwood Park,2026-06-01 19:00,2.0,,2,2,2026-06-02T01:27:27+00:00,,,,,OK
Edmonton,Edmonton,2026-06-01 20:00,2.0,,2,2,2026-06-02T03:28:02+00:00,2.0,2026-06-02T03:28:02+00:00,0.0,0.0,OK
Calgary,Calgary,2026-06-01 20:00,2.0,,3,3,2026-06-02T03:28:02+00:00,2.0,2026-06-02T03:28:02+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-06-01 20:00,2.0,,2,2,2026-06-02T03:28:02+00:00,2.0,2026-06-02T03:28:02+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-06-01 20:00,2.0,,2,2,2026-06-02T03:28:02+00:00,2.0,2026-06-02T03:28:02+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-06-01 20:00,2.0,,2,2,2026-06-02T03:28:02+00:00,3.0,2026-06-02T03:28:02+00:00,-1.0,1.0,Minor difference
Lethbridge,Lethbridge,2026-06-01 20:00,2.0,,2,2,2026-06-02T03:28:02+00:00,2.0,2026-06-02T03:28:02+00:00,0.0,0.0,OK
Medicine Hat,Medicine Hat,2026-06-01 20:00,1.0,,2,2,2026-06-02T03:28:02+00:00,1.0,2026-06-02T03:28:02+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-06-01 20:00,2.0,,3,3,2026-06-02T03:28:02+00:00,2.0,2026-06-02T03:28:02+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-06-01 20:00,1.0,,2,2,2026-06-02T03:28:02+00:00,1.0,2026-06-02T03:28:02+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,2026-06-01 20:00,2.0,,2,2,2026-06-02T03:28:02+00:00,2.0,2026-06-02T03:28:02+00:00,0.0,0.0,OK
St. Albert,St. Albert,2026-06-01 20:00,2.0,,2,2,2026-06-02T03:28:02+00:00,2.0,2026-06-02T03:28:02+00:00,0.0,0.0,OK
Strathcona County,Sherwood Park,2026-06-01 20:00,2.0,,2,2,2026-06-02T03:28:02+00:00,,,,,OK
Edmonton,Edmonton,2026-06-01 22:00,2.0,,2,2,2026-06-02T05:55:37+00:00,2.0,2026-06-02T05:55:38+00:00,0.0,0.0,OK
Calgary,Calgary,2026-06-01 22:00,2.0,,3,3,2026-06-02T05:55:37+00:00,2.0,2026-06-02T05:55:38+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-06-01 22:00,2.0,,2,2,2026-06-02T05:55:37+00:00,2.0,2026-06-02T05:55:38+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-06-01 22:00,2.0,,2,2,2026-06-02T05:55:37+00:00,2.0,2026-06-02T05:55:38+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-06-01 22:00,2.0,,2,2,2026-06-02T05:55:37+00:00,2.0,2026-06-02T05:55:38+00:00,0.0,0.0,OK
Lethbridge,Lethbridge,2026-06-01 23:00,2.0,,2,2,2026-06-02T05:55:37+00:00,2.0,2026-06-02T05:55:38+00:00,0.0,0.0,OK
Medicine Hat,Medicine Hat,2026-06-01 22:00,1.0,,2,2,2026-06-02T05:55:37+00:00,1.0,2026-06-02T05:55:38+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-06-01 22:00,2.0,,3,3,2026-06-02T05:55:37+00:00,2.0,2026-06-02T05:55:38+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-06-01 23:00,1.0,,2,2,2026-06-02T05:55:37+00:00,1.0,2026-06-02T05:55:38+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,2026-06-01 22:00,2.0,,2,2,2026-06-02T05:55:37+00:00,2.0,2026-06-02T05:55:38+00:00,0.0,0.0,OK
St. Albert,St. Albert,2026-06-01 22:00,2.0,,2,2,2026-06-02T05:55:37+00:00,2.0,2026-06-02T05:55:38+00:00,0.0,0.0,OK
Strathcona County,Sherwood Park,2026-06-01 23:00,2.0,,2,2,2026-06-02T05:55:37+00:00,,,,,OK
Edmonton,Edmonton,2026-06-02 01:00,2.0,,2,2,2026-06-02T07:59:24+00:00,2.0,2026-06-02T07:59:24+00:00,0.0,0.0,OK
Calgary,Calgary,2026-06-02 01:00,2.0,,3,3,2026-06-02T07:59:24+00:00,2.0,2026-06-02T07:59:24+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-06-02 01:00,2.0,,2,2,2026-06-02T07:59:24+00:00,2.0,2026-06-02T07:59:24+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-06-02 01:00,2.0,,2,2,2026-06-02T07:59:24+00:00,2.0,2026-06-02T07:59:24+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-06-02 01:00,2.0,,2,2,2026-06-02T07:59:24+00:00,2.0,2026-06-02T07:59:24+00:00,0.0,0.0,OK
Lethbridge,Lethbridge,2026-06-02 01:00,2.0,,2,2,2026-06-02T07:59:24+00:00,2.0,2026-06-02T07:59:24+00:00,0.0,0.0,OK
Medicine Hat,Medicine Hat,2026-06-02 01:00,1.0,,2,2,2026-06-02T07:59:24+00:00,1.0,2026-06-02T07:59:24+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-06-02 01:00,2.0,,3,3,2026-06-02T07:59:24+00:00,2.0,2026-06-02T07:59:24+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-06-02 01:00,1.0,,2,2,2026-06-02T07:59:24+00:00,1.0,2026-06-02T07:59:24+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,2026-06-02 01:00,2.0,,2,2,2026-06-02T07:59:24+00:00,2.0,2026-06-02T07:59:24+00:00,0.0,0.0,OK
St. Albert,St. Albert,2026-06-02 01:00,2.0,,2,2,2026-06-02T07:59:24+00:00,2.0,2026-06-02T07:59:24+00:00,0.0,0.0,OK
Strathcona County,Sherwood Park,2026-06-02 01:00,2.0,,2,2,2026-06-02T07:59:24+00:00,,,,,OK
Edmonton,Edmonton,2026-06-02 05:00,2.0,,2,2,2026-06-02T11:46:28+00:00,2.0,2026-06-02T11:46:28+00:00,0.0,0.0,OK
Calgary,Calgary,2026-06-02 04:00,2.0,,3,3,2026-06-02T11:46:28+00:00,2.0,2026-06-02T11:46:28+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-06-02 05:00,2.0,,2,2,2026-06-02T11:46:28+00:00,2.0,2026-06-02T11:46:28+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-06-02 05:00,1.0,,2,2,2026-06-02T11:46:28+00:00,1.0,2026-06-02T11:46:28+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-06-02 05:00,2.0,,2,2,2026-06-02T11:46:28+00:00,2.0,2026-06-02T11:46:28+00:00,0.0,0.0,OK
Lethbridge,Lethbridge,2026-06-02 03:00,2.0,,2,2,2026-06-02T11:46:28+00:00,1.0,2026-06-02T11:46:28+00:00,1.0,1.0,Minor difference
Medicine Hat,Medicine Hat,2026-06-02 04:00,1.0,,2,2,2026-06-02T11:46:28+00:00,1.0,2026-06-02T11:46:28+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-06-02 04:00,2.0,,3,3,2026-06-02T11:46:28+00:00,2.0,2026-06-02T11:46:28+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-06-02 05:00,1.0,,2,2,2026-06-02T11:46:28+00:00,1.0,2026-06-02T11:46:28+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,2026-06-02 04:00,2.0,,2,2,2026-06-02T11:46:28+00:00,2.0,2026-06-02T11:46:28+00:00,0.0,0.0,OK
St. Albert,St. Albert,2026-06-02 04:00,2.0,,2,2,2026-06-02T11:46:28+00:00,2.0,2026-06-02T11:46:28+00:00,0.0,0.0,OK
Strathcona County,Sherwood Park,2026-06-02 05:00,2.0,,2,2,2026-06-02T11:46:28+00:00,,,,,OK
Edmonton,Edmonton,2026-06-02 07:00,2.0,2.0,3,2,2026-06-02T13:41:51+00:00,2.0,2026-06-02T13:41:51+00:00,0.0,0.0,OK
Calgary,Calgary,2026-06-02 07:00,2.0,2.0,3,2,2026-06-02T13:41:51+00:00,2.0,2026-06-02T13:41:51+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-06-02 07:00,2.0,2.0,2,2,2026-06-02T13:41:51+00:00,2.0,2026-06-02T13:41:51+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-06-02 07:00,1.0,2.0,2,2,2026-06-02T13:41:51+00:00,1.0,2026-06-02T13:41:51+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-06-02 07:00,2.0,3.0,3,3,2026-06-02T13:41:51+00:00,2.0,2026-06-02T13:41:51+00:00,0.0,0.0,OK
Lethbridge,Lethbridge,2026-06-02 07:00,2.0,2.0,2,2,2026-06-02T13:41:51+00:00,2.0,2026-06-02T13:41:51+00:00,0.0,0.0,OK
Medicine Hat,Medicine Hat,2026-06-02 07:00,2.0,2.0,2,2,2026-06-02T13:41:51+00:00,2.0,2026-06-02T13:41:51+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-06-02 07:00,2.0,2.0,3,2,2026-06-02T13:41:51+00:00,2.0,2026-06-02T13:41:51+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-06-02 07:00,1.0,2.0,2,2,2026-06-02T13:41:51+00:00,1.0,2026-06-02T13:41:51+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,2026-06-02 07:00,2.0,2.0,2,2,2026-06-02T13:41:51+00:00,2.0,2026-06-02T13:41:51+00:00,0.0,0.0,OK
St. Albert,St. Albert,2026-06-02 07:00,2.0,2.0,3,2,2026-06-02T13:41:51+00:00,2.0,2026-06-02T13:41:51+00:00,0.0,0.0,OK
Strathcona County,Sherwood Park,2026-06-02 07:00,2.0,2.0,3,2,2026-06-02T13:41:51+00:00,,,,,OK
Edmonton,Edmonton,2026-06-02 09:00,2.0,2.0,3,2,2026-06-02T15:42:55+00:00,2.0,2026-06-02T15:42:56+00:00,0.0,0.0,OK
Calgary,Calgary,2026-06-02 09:00,2.0,2.0,3,2,2026-06-02T15:42:55+00:00,2.0,2026-06-02T15:42:56+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-06-02 09:00,2.0,2.0,2,2,2026-06-02T15:42:55+00:00,2.0,2026-06-02T15:42:56+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-06-02 09:00,1.0,2.0,2,2,2026-06-02T15:42:55+00:00,1.0,2026-06-02T15:42:56+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-06-02 09:00,2.0,3.0,3,3,2026-06-02T15:42:55+00:00,2.0,2026-06-02T15:42:56+00:00,0.0,0.0,OK
Lethbridge,Lethbridge,2026-06-02 09:00,2.0,2.0,2,2,2026-06-02T15:42:55+00:00,2.0,2026-06-02T15:42:56+00:00,0.0,0.0,OK
Medicine Hat,Medicine Hat,2026-06-02 09:00,1.0,2.0,2,2,2026-06-02T15:42:55+00:00,1.0,2026-06-02T15:42:56+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-06-02 09:00,2.0,2.0,3,2,2026-06-02T15:42:55+00:00,2.0,2026-06-02T15:42:56+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-06-02 09:00,1.0,2.0,2,2,2026-06-02T15:42:55+00:00,1.0,2026-06-02T15:42:56+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,2026-06-02 09:00,2.0,2.0,2,2,2026-06-02T15:42:55+00:00,2.0,2026-06-02T15:42:56+00:00,0.0,0.0,OK
St. Albert,St. Albert,2026-06-02 08:00,2.0,2.0,3,2,2026-06-02T15:42:55+00:00,2.0,2026-06-02T15:42:56+00:00,0.0,0.0,OK
Strathcona County,Sherwood Park,2026-06-02 09:00,2.0,2.0,3,2,2026-06-02T15:42:55+00:00,,,,,OK
Edmonton,Edmonton,2026-06-02 11:00,1.0,2.0,3,2,2026-06-02T17:50:29+00:00,2.0,2026-06-02T17:50:29+00:00,-1.0,1.0,Minor difference
Calgary,Calgary,2026-06-02 11:00,2.0,2.0,3,2,2026-06-02T17:50:29+00:00,2.0,2026-06-02T17:50:29+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-06-02 11:00,2.0,2.0,2,2,2026-06-02T17:50:29+00:00,2.0,2026-06-02T17:50:29+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-06-02 11:00,1.0,2.0,2,2,2026-06-02T17:50:29+00:00,1.0,2026-06-02T17:50:29+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-06-02 11:00,2.0,3.0,3,3,2026-06-02T17:50:29+00:00,2.0,2026-06-02T17:50:29+00:00,0.0,0.0,OK
Lethbridge,Lethbridge,2026-06-02 11:00,2.0,2.0,2,2,2026-06-02T17:50:29+00:00,2.0,2026-06-02T17:50:29+00:00,0.0,0.0,OK
Medicine Hat,Medicine Hat,2026-06-02 11:00,2.0,2.0,2,2,2026-06-02T17:50:29+00:00,2.0,2026-06-02T17:50:29+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-06-02 11:00,2.0,2.0,3,2,2026-06-02T17:50:29+00:00,2.0,2026-06-02T17:50:29+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-06-02 11:00,1.0,2.0,2,2,2026-06-02T17:50:29+00:00,1.0,2026-06-02T17:50:29+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,2026-06-02 11:00,2.0,2.0,2,2,2026-06-02T17:50:29+00:00,2.0,2026-06-02T17:50:29+00:00,0.0,0.0,OK
St. Albert,St. Albert,2026-06-02 11:00,1.0,2.0,3,2,2026-06-02T17:50:29+00:00,1.0,2026-06-02T17:50:29+00:00,0.0,0.0,OK
Strathcona County,Sherwood Park,2026-06-02 11:00,2.0,2.0,3,2,2026-06-02T17:50:29+00:00,,,,,OK
Edmonton,Edmonton,2026-06-02 12:00,1.0,2.0,3,2,2026-06-02T19:32:10+00:00,1.0,2026-06-02T19:32:10+00:00,0.0,0.0,OK
Calgary,Calgary,2026-06-02 12:00,2.0,2.0,3,2,2026-06-02T19:32:10+00:00,2.0,2026-06-02T19:32:10+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-06-02 12:00,2.0,2.0,2,2,2026-06-02T19:32:10+00:00,2.0,2026-06-02T19:32:10+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-06-02 12:00,1.0,2.0,2,2,2026-06-02T19:32:10+00:00,1.0,2026-06-02T19:32:10+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-06-02 12:00,2.0,3.0,3,3,2026-06-02T19:32:10+00:00,2.0,2026-06-02T19:32:10+00:00,0.0,0.0,OK
Lethbridge,Lethbridge,2026-06-02 13:00,2.0,2.0,2,2,2026-06-02T19:32:10+00:00,2.0,2026-06-02T19:32:10+00:00,0.0,0.0,OK
Medicine Hat,Medicine Hat,2026-06-02 12:00,2.0,2.0,2,2,2026-06-02T19:32:10+00:00,2.0,2026-06-02T19:32:10+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-06-02 12:00,2.0,2.0,3,2,2026-06-02T19:32:10+00:00,2.0,2026-06-02T19:32:10+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-06-02 13:00,1.0,2.0,2,2,2026-06-02T19:32:10+00:00,1.0,2026-06-02T19:32:10+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,2026-06-02 12:00,2.0,2.0,2,2,2026-06-02T19:32:10+00:00,2.0,2026-06-02T19:32:10+00:00,0.0,0.0,OK
St. Albert,St. Albert,2026-06-02 12:00,1.0,2.0,3,2,2026-06-02T19:32:10+00:00,1.0,2026-06-02T19:32:10+00:00,0.0,0.0,OK
Strathcona County,Sherwood Park,2026-06-02 13:00,1.0,2.0,3,2,2026-06-02T19:32:10+00:00,,,,,OK
Edmonton,Edmonton,2026-06-02 14:00,1.0,2.0,3,2,2026-06-02T21:22:58+00:00,1.0,2026-06-02T21:22:59+00:00,0.0,0.0,OK
Calgary,Calgary,2026-06-02 14:00,2.0,2.0,3,2,2026-06-02T21:22:58+00:00,2.0,2026-06-02T21:22:59+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-06-02 14:00,2.0,2.0,2,2,2026-06-02T21:22:58+00:00,2.0,2026-06-02T21:22:59+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-06-02 14:00,1.0,2.0,2,2,2026-06-02T21:22:58+00:00,1.0,2026-06-02T21:22:59+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-06-02 14:00,3.0,3.0,3,3,2026-06-02T21:22:58+00:00,2.0,2026-06-02T21:22:59+00:00,1.0,1.0,Minor difference
Lethbridge,Lethbridge,2026-06-02 15:00,2.0,2.0,2,2,2026-06-02T21:22:58+00:00,2.0,2026-06-02T21:22:59+00:00,0.0,0.0,OK
Medicine Hat,Medicine Hat,2026-06-02 14:00,2.0,2.0,2,2,2026-06-02T21:22:58+00:00,2.0,2026-06-02T21:22:59+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-06-02 14:00,2.0,2.0,3,2,2026-06-02T21:22:58+00:00,2.0,2026-06-02T21:22:59+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-06-02 15:00,1.0,2.0,2,2,2026-06-02T21:22:58+00:00,1.0,2026-06-02T21:22:59+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,2026-06-02 14:00,2.0,2.0,2,2,2026-06-02T21:22:58+00:00,2.0,2026-06-02T21:22:59+00:00,0.0,0.0,OK
St. Albert,St. Albert,2026-06-02 14:00,1.0,2.0,3,2,2026-06-02T21:22:58+00:00,1.0,2026-06-02T21:22:59+00:00,0.0,0.0,OK
Strathcona County,Sherwood Park,2026-06-02 15:00,1.0,2.0,3,2,2026-06-02T21:22:58+00:00,,,,,OK
Edmonton,Edmonton,2026-06-02 17:00,1.0,,2,2,2026-06-02T23:55:33+00:00,1.0,2026-06-02T23:55:33+00:00,0.0,0.0,OK
Calgary,Calgary,2026-06-02 17:00,2.0,,3,2,2026-06-02T23:55:33+00:00,2.0,2026-06-02T23:55:33+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-06-02 17:00,1.0,,2,2,2026-06-02T23:55:33+00:00,1.0,2026-06-02T23:55:33+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-06-02 17:00,2.0,,2,2,2026-06-02T23:55:33+00:00,2.0,2026-06-02T23:55:33+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-06-02 17:00,3.0,,2,2,2026-06-02T23:55:33+00:00,3.0,2026-06-02T23:55:33+00:00,0.0,0.0,OK
Lethbridge,Lethbridge,2026-06-02 17:00,2.0,,2,2,2026-06-02T23:55:33+00:00,2.0,2026-06-02T23:55:33+00:00,0.0,0.0,OK
Medicine Hat,Medicine Hat,2026-06-02 17:00,2.0,,2,2,2026-06-02T23:55:33+00:00,2.0,2026-06-02T23:55:33+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-06-02 17:00,2.0,,3,2,2026-06-02T23:55:33+00:00,2.0,2026-06-02T23:55:33+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-06-02 17:00,1.0,,2,1,2026-06-02T23:55:33+00:00,1.0,2026-06-02T23:55:33+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,2026-06-02 17:00,2.0,,2,2,2026-06-02T23:55:33+00:00,2.0,2026-06-02T23:55:33+00:00,0.0,0.0,OK
St. Albert,St. Albert,2026-06-02 17:00,1.0,,2,2,2026-06-02T23:55:33+00:00,1.0,2026-06-02T23:55:33+00:00,0.0,0.0,OK
Strathcona County,Sherwood Park,2026-06-02 17:00,2.0,,2,2,2026-06-02T23:55:33+00:00,,,,,OK
Edmonton,Edmonton,2026-06-02 20:00,1.0,,2,2,2026-06-03T03:28:18+00:00,1.0,2026-06-03T03:28:18+00:00,0.0,0.0,OK
Calgary,Calgary,2026-06-02 20:00,2.0,,3,2,2026-06-03T03:28:18+00:00,2.0,2026-06-03T03:28:18+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-06-02 20:00,1.0,,2,2,2026-06-03T03:28:18+00:00,1.0,2026-06-03T03:28:18+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-06-02 20:00,2.0,,2,2,2026-06-03T03:28:18+00:00,2.0,2026-06-03T03:28:18+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-06-02 20:00,3.0,,2,2,2026-06-03T03:28:18+00:00,3.0,2026-06-03T03:28:18+00:00,0.0,0.0,OK
Lethbridge,Lethbridge,2026-06-02 21:00,1.0,,2,2,2026-06-03T03:28:18+00:00,2.0,2026-06-03T03:28:18+00:00,-1.0,1.0,Minor difference
Medicine Hat,Medicine Hat,2026-06-02 20:00,2.0,,2,2,2026-06-03T03:28:18+00:00,2.0,2026-06-03T03:28:18+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-06-02 20:00,2.0,,3,2,2026-06-03T03:28:18+00:00,2.0,2026-06-03T03:28:18+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-06-02 21:00,1.0,,2,1,2026-06-03T03:28:18+00:00,1.0,2026-06-03T03:28:18+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,2026-06-02 20:00,2.0,,2,2,2026-06-03T03:28:18+00:00,2.0,2026-06-03T03:28:18+00:00,0.0,0.0,OK
St. Albert,St. Albert,2026-06-02 20:00,1.0,,2,2,2026-06-03T03:28:18+00:00,1.0,2026-06-03T03:28:18+00:00,0.0,0.0,OK
Strathcona County,Sherwood Park,2026-06-02 21:00,2.0,,2,2,2026-06-03T03:28:18+00:00,,,,,OK
Edmonton,Edmonton,2026-06-02 22:00,1.0,,2,2,2026-06-03T05:58:23+00:00,1.0,2026-06-03T05:58:23+00:00,0.0,0.0,OK
Calgary,Calgary,2026-06-02 22:00,2.0,,3,2,2026-06-03T05:58:23+00:00,2.0,2026-06-03T05:58:23+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-06-02 22:00,1.0,,2,2,2026-06-03T05:58:23+00:00,1.0,2026-06-03T05:58:23+00:00,0.0,0.0,OK
